19123	Military|Nobility
1918	Church|State and court
325	Church|Heads of state|Nobility
1071	Heads of state
21396	Church|Scholars and writers
1245	Heads of state|Nobility
15452	Church|Scholars and writers|Nobility
1986	State and court
1703	Heads of state
9791	Nobility
324	Heads of state
932	Heads of state|Nobility
19164	State and court
10611	Nobility
203	Heads of state|Nobility
429	Church|State and court
348	Heads of state|Nobility
23870	Nobility
390	Heads of state|Military|Nobility|State and court
3390	Heads of state
34608	Church|State and court
874	Heads of state
19477	Nobility
359	Church
12450	Church
892	State and court
474	Church|State and court
2569	Nobility|State and court
3234	Nobility
9065	Heads of state
772	Nobility|State and court
133	Nobility|State and court
3118	Heads of state|Nobility
16017	Military|Nobility|State and court
3433	Heads of state
427	Heads of state
1461	Military|Nobility|State and court
311	Heads of state|Nobility
22740	Military|Nobility
21253	State and court
968	Heads of state
17294	Military|Nobility
10004	Nobility|State and court
33276	Military|Nobility
826	Heads of state|Nobility
182	Heads of state|Nobility
3851	Nobility
17254	Military|Nobility|State and court
18605	Military|Nobility|State and court
655	Corporate bodies|State and court
10207	Heads of state
608	Nobility
19579	Church
2879	Nobility
23349	State and court
10642	Military|Nobility|State and court
17269	Military|Nobility|State and court
4142	Nobility
14437	Church|State and court
